Serie  13.516299
Tam 1000 Nhilos : 1 Bucle:  1 15.039401
Tam 1000 Nhilos : 1 Bucle:  2 13.423189
Tam 1000 Nhilos : 1 Bucle:  3 13.144713
Tam 1000 Nhilos : 2 Bucle:  1 9.590694
Tam 1000 Nhilos : 2 Bucle:  2 9.882001
Tam 1000 Nhilos : 2 Bucle:  3 6.606028
Tam 1000 Nhilos : 3 Bucle:  1 7.469166
Tam 1000 Nhilos : 3 Bucle:  2 4.472593
Tam 1000 Nhilos : 3 Bucle:  3 4.410927
Tam 1000 Nhilos : 4 Bucle:  1 6.857504
Tam 1000 Nhilos : 4 Bucle:  2 3.354922
Tam 1000 Nhilos : 4 Bucle:  3 3.327347
Serie  119.886232
Tam 2000 Nhilos : 1 Bucle:  1 136.203007
Tam 2000 Nhilos : 1 Bucle:  2 123.730018
Tam 2000 Nhilos : 1 Bucle:  3 117.234080
Tam 2000 Nhilos : 2 Bucle:  1 73.579066
Tam 2000 Nhilos : 2 Bucle:  2 64.142162
Tam 2000 Nhilos : 2 Bucle:  3 62.607701
Tam 2000 Nhilos : 3 Bucle:  1 52.726856
Tam 2000 Nhilos : 3 Bucle:  2 40.043354
Tam 2000 Nhilos : 3 Bucle:  3 43.244257
Tam 2000 Nhilos : 4 Bucle:  1 45.883661
Tam 2000 Nhilos : 4 Bucle:  2 28.306952
Tam 2000 Nhilos : 4 Bucle:  3 26.310896
